survey_start_datetime,survey_end_datetime,clinic_name,location,number_of_beds,number_of_healthcare_staff,medical_specialties,has_informatic_management_system,software_type_used,administrative_tasks_free_text,time_consuming_appointments,time_consuming_patient_records,time_consuming_billing_payment,time_consuming_inventory_orders,time_consuming_other_flag,time_consuming_other_details,main_challenges_patient_records_free_text,challenge_data_centralization,challenge_accessing_info,challenge_data_entry_errors,challenge_other_patient_records_flag,autres.1,uses_digital_tools_for_appointments,processes_to_automate_free_text,want_automation_appointments,want_automation_patient_records,want_automation_billing,want_automation_data_analysis,want_automation_inventory,want_automation_other_flag,autres.2,current_digital_channels_free_text,uses_website,uses_social_media,uses_newsletters,uses_other_channel_flag,autres.3,Site web,autre,RESEAUX SOCIAUX,autre.1,NEWSLETTERS,autre.2,SITE WEB,content_website_health_tips,content_website_prof_articles,content_website_deep_dive,content_website_patient_info,content_website_services_reviews,content_website_other_flag,autre.3,RESEAUX SOCIAUX.1,content_social_health_tips,content_social_prof_articles,content_social_deep_dive,content_social_patient_info,content_social_services_reviews,content_social_other_flag,autre.4,NEWSLETTERS.1,content_newsletter_health_tips,content_newsletter_prof_articles,content_newsletter_deep_dive,content_newsletter_patient_info,content_newsletter_services_reviews,content_newsletter_other_flag,autre.5,has_formal_digital_strategy,digital_strategy_outline,wants_help_with_strategy,has_dedicated_digital_budget,digital_communication_goals_free_text,goal_brand_awareness,goal_patient_acquisition,goal_patient_retention,goal_other_comm_flag,autre.6,digital_metrics_used,specific_online_expectations,has_dedicated_digital_team,missing_internal_digital_skills,difficulty_producing_content,main_digital_comm_difficulties,faced_compliance_issues,limited_by_time_or_staff,perceived_impact_digital_comm,level_staff_involved_digital_comm,patient_feedback_received,how_monitor_digital_practices,strategy_digital_innovation,adaptation_to_patient_online_expec,considered_IA_solutions,expected_IA_benefits_free_text,expect_IA_admin_efficiency,expect_IA_accuracy_improvement,expect_IA_resource_optimization,expect_IA_better_patient_experience,expect_IA_other_benefit_flag,autre.7,main_IA_adoption_barriers_free_text,barrier_IA_cost,barrier_IA_lack_of_skills,barrier_IA_security_privacy,barrier_IA_resistance_change,barrier_IA_other_flag,autre.8,interested_in_IA_demo_pilot,desired_IA_support_free_text,support_IA_training,support_IA_tech_assistance,support_IA_digital_consulting,support_IA_other_flag,autre.9,specific_IA_suggestions_expectations,thank_you_note,record_id,record_uuid,submission_time,validation_status,notes,status,submitted_by,form_version,tags,row_index,survey_duration_seconds,submission_year,submission_month,submission_day_of_week
2025-09-28 23:29:23.529,2025-09-28 23:42:24.873,PISAM,Cocody,123.0,,,Oui,SIH,prise de rendez-vous gestion des dossiers patients facturation et paiement gestion des stocks et commandes,1,1,1,1,0,,,,,,,,"Oui, un logiciel dédié",,,,,,,,,site web réseaux sociaux,1,1,0,0,,autre,Site en refonte,2 à 3 fois,,autre,En pause,"conseil santé prévention, actualités cliniques  articles professionnels, innovations médicales info patients, nouveautés, promotions services, avis patients",1,1,0,1,1,0,,"conseils santé prévention, actualités cliniques articles professionnels, innovation médicales info patients, nouveautés, promotions service , avis patients",1,1,0,1,1,0,,"Conseils santé prévention, actualités cliniques articles professionnels, innovations médicales info patients, nouveautés, promotions service , avis patients",1,1,0,1,1,0,,oui,,,non,amélioration de la notoriété acquisition de la patientèle,1,1,0,0,,"Nombre de vues, engagement, consommation. Lois de campagnes dédiées",,Oui,Intelligence artificielle,Non,Ressources humaines,Publicité médical,Les deux,Impact positif,09/10 ils participent à toutes les actions,Positif,,,,oui,gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources,1,1,1,0,0,,autre,0,0,0,0,1,,"peut-être, selon les conditions",Formation du personnel assistance technique et support,1,1,0,0,,,,568804204,dd95db0c-aed7-4e2e-97f8-d969d15905d2,2025-09-28 23:42:32,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,1,781.344,2025,9,6
2025-09-28 23:42:25.252,2025-09-28 23:54:37.159,Polyclinique saint Henriette,Cocody Angré 8eme tranche,45.0,,Réanimation,Oui,Solumed,prise de rendez-vous,1,0,0,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,Partiellement (mixte entre papier et numérique),Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent analyse des données médicales pour aide à la décision,1,1,0,1,0,0,,site web réseaux sociaux,1,1,0,0,,1 à 2 fois,,1 à 2 fois,,,,"conseil santé prévention, actualités cliniques  articles professionnels, innovations médicales",1,1,0,0,0,0,,"conseils santé prévention, actualités cliniques articles professionnels, innovation médicales",1,1,0,0,0,0,,,,,,,,,,"Non, pas encore",,,non,acquisition de la patientèle fidélisation de la patientèle,0,1,1,0,,Nombre de vues,,Oui,Intelligence artificielle,Non,Ressources humaines,,Manque de personnel,Impact positif,Participent aux actions,Positif,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives,1,0,0,0,0,,sécurité et confidentialité de données,0,0,1,0,0,,oui,assistance technique et support,0,1,0,0,,,,568807166,7d609cd6-6dff-4199-a435-27615fb9c2e9,2025-09-28 23:54:42,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,2,731.907,2025,9,6
2025-09-28 23:54:37.490,2025-09-29 12:34:08.578,Clinique sainte Henriette,Bonoua,10.0,30.0,Général,Oui,,gestion des dossiers patients facturation et paiement,0,1,1,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,"Non, gestion manuelle",Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent analyse des données médicales pour aide à la décision,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non, pas encore",,oui,non,amélioration de la notoriété acquisition de la patientèle,1,1,0,0,,,,Non,Intelligence artificielle,,,,Manque de personnel,,,,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs,1,1,0,0,0,,coût d'implémentation,1,0,0,0,0,,"peut-être, selon les conditions",assistance technique et support,0,1,0,0,,,,569273131,d23c63d5-650f-4422-aba8-4de03a567c52,2025-09-29 12:34:17,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,3,45571.088,2025,9,0
2025-09-29 13:02:20.526,2025-09-29 13:37:11.632,Hôpital islamique Daloa,Savonnerie Route d’issia,15.0,10.0,04,Oui,MEdisoft,prise de rendez-vous gestion des dossiers patients facturation et paiement,1,1,1,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,Partiellement (mixte entre papier et numérique),Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent facturation et suivi des paiements analyse des données médicales pour aide à la décision gestion des stocks et commandes,1,1,1,1,1,0,,site web réseaux sociaux,1,1,0,0,,3 à 5 fois,,1 à 2 fois,,,,"conseil santé prévention, actualités cliniques  info patients, nouveautés, promotions",1,0,0,1,0,0,,"conseils santé prévention, actualités cliniques articles professionnels, innovation médicales info patients, nouveautés, promotions",1,1,0,1,0,0,,,,,,,,,,oui,"Sur les pandémies (octobre rose, novembre bleu) Spécifique suite à nos services",,oui,amélioration de la notoriété acquisition de la patientèle,1,1,0,0,,Reconversion de la like Facebook soit les appels et réaction,La visibilité,Non,Formation en création visuelle avec les outils de l’IA et oficiel,Oui,Logiciel adapté,Non,Non,Bien,Aucunement,Satisfaisant,,,,oui,gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources meilleure expérience patient,1,1,1,1,0,,manque de compétences internes sécurité et confidentialité de données résistance au changement,0,1,1,1,0,,oui,Formation du personnel assistance technique et support conseil en transformation digitale,1,1,1,0,,,,569331863,27732d6a-0bea-4ae2-b21e-09c798cb255c,2025-09-29 13:37:13,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,4,2091.106,2025,9,0
2025-09-29 13:37:11.665,2025-09-30 12:02:52.271,Centre médical Concorde Daloa,Quartier commerce,2.0,7.0,"Médecine,gynécologie,unité d’échographie",Non,,gestion des dossiers patients facturation et paiement gestion des stocks et commandes,0,1,1,1,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,"Non, gestion manuelle",Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent facturation et suivi des paiements gestion des stocks et commandes,1,1,1,0,1,0,,autres,0,0,0,1,,autre,Jamais,autre,,autre,,,,,,,,,,,,,,,,,,,,,,,,,,"Non, pas encore",,oui,non,amélioration de la notoriété acquisition de la patientèle fidélisation de la patientèle autre,1,1,1,1,Augmenter la capacité d’accueil des patients,,,Non,Personnel qualifié en la matière,,,Non,,,,,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources meilleure expérience patient,1,1,1,1,0,,,,,,,,,oui,assistance technique et support conseil en transformation digitale,0,1,1,0,,,,570042103,a29cc1bf-b398-4129-9ac4-7a5afcd7301e,2025-09-30 12:02:53,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,5,80740.606,2025,9,1
2025-10-01 14:54:16.804,2025-10-01 23:02:13.385,CLINIQUE MEDICALE CRYSALIDE,YOPOUGON TOIT-ROUGE,80.0,50.0,MERE ENFANT/ GYNECOLOGIE/ MED GENERALE/ MED SPECILISEE,Oui,LOGICIEL DE BUREAUBR,prise de rendez-vous gestion des dossiers patients facturation et paiement gestion des stocks et commandes,1,1,1,1,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,"Oui, un logiciel dédié",Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent facturation et suivi des paiements analyse des données médicales pour aide à la décision gestion des stocks et commandes,1,1,1,1,1,0,,site web réseaux sociaux,1,1,0,0,,2 à 3 fois,,2 à 3 fois,,,,,,,,,,,,"conseils santé prévention, actualités cliniques service , avis patients",1,0,0,0,1,0,,,,,,,,,,oui,ETABLIR L'AUTORITE ET LA CONFIANCE PAR UN CONTENU/ HARMONISER LA CLINIQUE ET FEDERER UNE COMMUNAUTE/ FACILITER LA PRISE DE RENDEZ-VOUS ET PERSONNALISER LE PARCOURT PATIENT,,oui,amélioration de la notoriété acquisition de la patientèle fidélisation de la patientèle,1,1,1,0,,"LE NOMBRE D'INTERACTION (PARTAGE, COMMENTAIRE)/ NOMBRE DE SUIVIE DE NOTRE PAGE",TRANSPORTER NOTRE SERVICE CLIENT EN LIGNE,"OUI, UNE EQUIPE",PRODUCTION DECONTENUE VIDEO A ADAPTER A LA MEDCINE,OUI,TEMOIGNAGES PATIENT (VIDEOS) ET MEDICAUX,NON,NON,"NOMBRE ACCRU DE PATIENT, VISITE REGULIERE DE NOS LOCAUX",PLUS DE 80%,DE NOS RETOURS,"VISITE DE L'ETABLISSEMENT, RETOUR DE PATIENT, RECHERCHE SUR LE NET ET RESEAUX SOCIAUX",FORMATION DES AGENTS,,oui,gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources meilleure expérience patient,1,1,1,1,0,,coût d'implémentation sécurité et confidentialité de données,1,0,1,0,0,,oui,Formation du personnel assistance technique et support conseil en transformation digitale,1,1,1,0,,"L'IA C'EST BON, MAIS ELLE NE FAIT PAS TOUT SEULE, IL FAUT PLACER L'HUMAIN AU CENTRE DE  L'IA",,571205762,e096ed30-a9c7-4fce-b695-79e8de9fd558,2025-10-01 22:26:47,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,6,29276.581,2025,10,2
2025-10-01 23:02:23.689,2025-10-01 23:35:24.611,CLINIQUE MEDICALE MISERICODE DIEU,YOPOUGON ANCIEN BEL AIRE,,,MEDECINE GENERALE/ SPECIALITE,Oui,,prise de rendez-vous gestion des dossiers patients facturation et paiement,1,1,1,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,Partiellement (mixte entre papier et numérique),Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent analyse des données médicales pour aide à la décision,1,1,0,1,0,0,,réseaux sociaux,0,1,0,0,,,,1 à 2 fois,,,,,,,,,,,,"conseils santé prévention, actualités cliniques",1,0,0,0,0,0,,,,,,,,,,oui,,,,amélioration de la notoriété acquisition de la patientèle fidélisation de la patientèle,1,1,1,0,,"INTERACTION ET AVIS DES INTERNAUTES, MOBILENAUTES",DRENER PLUS DE MONDE,,,,,NON,PERSONNEL,,90%,POSITIF,,CAMPAGNE CIBLEES,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives,1,0,0,0,0,,sécurité et confidentialité de données,0,0,1,0,0,,"peut-être, selon les conditions",Formation du personnel,1,0,0,0,,,,571208494,14fd25f7-91e6-433b-92b5-ee3cf8c2ecdf,2025-10-01 22:40:14,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,7,1980.922,2025,10,2
2025-09-30 12:02:52.297,2025-10-02 17:39:25.235,Clinique l’Antilope de Daloa,Quartier Tazibouo,11.0,8.0,05,Oui,Medisoft,gestion des stocks et commandes,0,0,0,1,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,"Oui, un logiciel dédié",gestion des stocks et commandes,0,0,0,0,1,0,,autres,0,0,0,1,,autre,,autre,,autre,,autre,0,0,0,0,0,1,,autre,0,0,0,0,0,1,,autre,0,0,0,0,0,1,,"Non, pas encore",,oui,non,amélioration de la notoriété acquisition de la patientèle,1,1,0,0,,Retour des clients,Oui fidélisé la clientèle,Non,La création d’une communication digitale,,,,,,,,,,,oui,gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources meilleure expérience patient,1,1,1,1,0,,coût d'implémentation sécurité et confidentialité de données,1,0,1,0,0,,oui,Formation du personnel assistance technique et support conseil en transformation digitale,1,1,1,0,,,,571829848,54e06e0f-f21b-4805-973a-77998ae9d63f,2025-10-02 17:39:26,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,8,192992.938,2025,10,3
2025-10-08 07:39:44.469,2025-10-08 08:01:11.282,Clinique Saint Jean,Bonoua,50.0,70.0,"Générale, l'ophtalmologie, dentaire",Oui,Solumed,prise de rendez-vous,1,0,0,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,Partiellement (mixte entre papier et numérique),Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent,1,1,0,0,0,0,,réseaux sociaux,0,1,0,0,,,,1 à 2 fois,,,,,,,,,,,,"conseils santé prévention, actualités cliniques",1,0,0,0,0,0,,,,,,,,,,"Non, pas encore",,,,acquisition de la patientèle fidélisation de la patientèle,0,1,1,0,,Le nombre d'interaction,,Une équipe,Production de contenu,Oui,Témoignages patient,Non,,Nombre de visiteurs,,,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs meilleure expérience patient,1,1,0,1,0,,coût d'implémentation,1,0,0,0,0,,"peut-être, selon les conditions",conseil en transformation digitale,0,0,1,0,,,,576773485,6f7a3632-aa94-40c0-96b3-4cdad85f06ad,2025-10-08 08:01:16,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,9,1286.813,2025,10,2
2025-10-08 08:01:11.706,2025-10-08 08:14:58.212,Clinique hôtel Maria,Yopougon,60.0,90.0,,Oui,,prise de rendez-vous gestion des dossiers patients,1,1,0,0,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,Partiellement (mixte entre papier et numérique),Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent analyse des données médicales pour aide à la décision,1,1,0,1,0,0,,,,,,,,,,2 à 3 fois,,,,,,,,,,,,"conseils santé prévention, actualités cliniques articles professionnels, innovation médicales",1,1,0,0,0,0,,,,,,,,,,oui,,,non,amélioration de la notoriété acquisition de la patientèle,1,1,0,0,,Nombre d'engagement,,Oui,Intelligence artificielle,Non,,Non,,Positif,,,,,,oui,gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources,1,1,1,0,0,,coût d'implémentation sécurité et confidentialité de données,1,0,1,0,0,,"peut-être, selon les conditions",Formation du personnel,1,0,0,0,,,,576786367,f1f363b2-cd80-4ec6-82a3-60880c251921,2025-10-08 08:15:01,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,10,826.506,2025,10,2
2025-10-02 17:39:25.267,2025-10-09 10:57:09.123,Clinique médicale Espoir,"Daloa,Tazibouo 4eme arrondissement",11.0,11.0,05,Oui,MEdisoft,facturation et paiement gestion des stocks et commandes,0,0,1,1,0,,risque d'erreurs dans la saisie des données,0,0,1,0,,"Non, gestion manuelle",Prise de rendez-vous et appels automatiques gestion des dossiers médicaux et archivage intelligent facturation et suivi des paiements analyse des données médicales pour aide à la décision gestion des stocks et commandes,1,1,1,1,1,0,,autres,0,0,0,1,,autre,,autre,,autre,,autre,0,0,0,0,0,1,,autre,0,0,0,0,0,1,,autre,0,0,0,0,0,1,,"Non, pas encore",,oui,non,amélioration de la notoriété acquisition de la patientèle fidélisation de la patientèle,1,1,1,0,,,Meilleur visibilité,Non,,Oui,,,,,,,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives amélioration de la précision et réduction des erreurs optimisation de la gestion des ressources meilleure expérience patient,1,1,1,1,0,,coût d'implémentation manque de compétences internes sécurité et confidentialité de données,1,1,1,0,0,,oui,Formation du personnel assistance technique et support conseil en transformation digitale,1,1,1,0,,Un coût acceptable,,578017284,b80a6a09-8d91-423e-84f2-e72a5ae9c610,2025-10-09 10:57:10,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,11,580663.856,2025,10,3
2025-10-08 08:14:58.503,2025-10-13 19:22:45.642,CENTRE MÉDICAL MARVING,BINGERVILLE,4.0,10.0,Générale et Spécialité,Non,,prise de rendez-vous gestion des dossiers patients facturation et paiement gestion des stocks et commandes,1,1,1,1,0,,,,,,,,"Non, gestion manuelle",Prise de rendez-vous et appels automatiques,1,0,0,0,0,0,,réseaux sociaux,0,1,0,0,,,,,,,,,,,,,,,,"service , avis patients",0,0,0,0,1,0,,,,,,,,,,"Non, pas encore",,,non,amélioration de la notoriété acquisition de la patientèle fidélisation de la patientèle autre,1,1,1,1,Visibilité,,,En vue,,Non,,,Il est en projet,,Chaque personne communique sur la clinique,,,,,"pas encore, mais intéressé",gain de temps et réduction des tâches administratives optimisation de la gestion des ressources,1,0,1,0,0,,,,,,,,,"peut-être, selon les conditions",Formation du personnel assistance technique et support,1,1,0,0,,"IA aide souvent dans la politique médical, elle pourra avoir des atouts dans la clinique.",,581592095,037a9947-2566-4b48-a507-86c8f761aadc,2025-10-13 19:22:51,,,submitted_via_web,,vu6KJfiUUztQs8QxdMb6Qc,,12,472067.139,2025,10,0
